"filename", "language", "C++", "CMake", "JSON", "YAML", "Dart", "Java Properties", "Markdown", "Gradle", "XML", "HTML", "Swift", "comment", "blank", "total"
"/Users/samharvey/AndroidStudioProjects/ecowise_planner/lib/firebase_options.dart", "Dart", 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 12, 7, 89
"/Users/samharvey/AndroidStudioProjects/ecowise_planner/lib/main.dart", "Dart", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 4, 6, 54
"/Users/samharvey/AndroidStudioProjects/ecowise_planner/lib/presentation/pages/alerts_page.dart", "Dart", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 4, 26
"/Users/samharvey/AndroidStudioProjects/ecowise_planner/lib/presentation/pages/auth_pages/forgot_password_page.dart", "Dart", 0, 0, 0, 0, 141, 0, 0, 0, 0, 0, 0, 3, 8, 152
"/Users/samharvey/AndroidStudioProjects/ecowise_planner/lib/presentation/pages/auth_pages/sign_in_page.dart", "Dart", 0, 0, 0, 0, 283, 0, 0, 0, 0, 0, 0, 5, 9, 297
"/Users/samharvey/AndroidStudioProjects/ecowise_planner/lib/presentation/pages/auth_pages/sign_up_page.dart", "Dart", 0, 0, 0, 0, 170, 0, 0, 0, 0, 0, 0, 3, 8, 181
"/Users/samharvey/AndroidStudioProjects/ecowise_planner/lib/presentation/pages/company_rego_pages/company_registration_page.dart", "Dart", 0, 0, 0, 0, 140, 0, 0, 0, 0, 0, 0, 3, 12, 155
"/Users/samharvey/AndroidStudioProjects/ecowise_planner/lib/presentation/pages/company_rego_pages/join_company_page.dart", "Dart", 0, 0, 0, 0, 138, 0, 0, 0, 0, 0, 0, 3, 8, 149
"/Users/samharvey/AndroidStudioProjects/ecowise_planner/lib/presentation/pages/home_page.dart", "Dart", 0, 0, 0, 0, 141, 0, 0, 0, 0, 0, 0, 1, 7, 149
"/Users/samharvey/AndroidStudioProjects/ecowise_planner/lib/presentation/pages/project_pages/new_project_page.dart", "Dart", 0, 0, 0, 0, 456, 0, 0, 0, 0, 0, 0, 23, 11, 490
"/Users/samharvey/AndroidStudioProjects/ecowise_planner/lib/presentation/pages/project_pages/project_page.dart", "Dart", 0, 0, 0, 0, 1017, 0, 0, 0, 0, 0, 0, 14, 20, 1051
"/Users/samharvey/AndroidStudioProjects/ecowise_planner/lib/presentation/pages/project_pages/projects_page.dart", "Dart", 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 1, 7, 108
"/Users/samharvey/AndroidStudioProjects/ecowise_planner/lib/presentation/pages/search_page.dart", "Dart", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 1, 3, 34
"/Users/samharvey/AndroidStudioProjects/ecowise_planner/lib/presentation/pages/settings_page.dart", "Dart", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 3, 9, 70
"/Users/samharvey/AndroidStudioProjects/ecowise_planner/lib/presentation/pages/tasks_page.dart", "Dart", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 1, 3, 70
"/Users/samharvey/AndroidStudioProjects/ecowise_planner/lib/presentation/state_management/providers.dart", "Dart", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 3, 5, 15
"/Users/samharvey/AndroidStudioProjects/ecowise_planner/lib/presentation/widgets/borderless_dropdown_menu_widget.dart", "Dart", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 4, 39
"/Users/samharvey/AndroidStudioProjects/ecowise_planner/lib/presentation/widgets/borderless_field_widget.dart", "Dart", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 4, 59
"/Users/samharvey/AndroidStudioProjects/ecowise_planner/lib/presentation/widgets/bottom_nav_bar_menu_widget.dart", "Dart", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 5, 63
"/Users/samharvey/AndroidStudioProjects/ecowise_planner/lib/presentation/widgets/custom_bottom_nav_bar_widget.dart", "Dart", 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 5, 70
"/Users/samharvey/AndroidStudioProjects/ecowise_planner/lib/presentation/widgets/custom_dialog_widget.dart", "Dart", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 1, 4, 32
"/Users/samharvey/AndroidStudioProjects/ecowise_planner/lib/presentation/widgets/custom_dropdown_menu_widget.dart", "Dart", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 25, 5, 55
"/Users/samharvey/AndroidStudioProjects/ecowise_planner/lib/presentation/widgets/custom_field_widget.dart", "Dart", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 4, 57
"/Users/samharvey/AndroidStudioProjects/ecowise_planner/lib/presentation/widgets/login_field_widget.dart", "Dart", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 4, 50
"/Users/samharvey/AndroidStudioProjects/ecowise_planner/linux/flutter/generated_plugin_registrant.cc", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 16
"/Users/samharvey/AndroidStudioProjects/ecowise_planner/linux/flutter/generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"/Users/samharvey/AndroidStudioProjects/ecowise_planner/linux/flutter/generated_plugins.cmake", "CMake", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"/Users/samharvey/AndroidStudioProjects/ecowise_planner/linux/main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/samharvey/AndroidStudioProjects/ecowise_planner/linux/my_application.cc", "C++", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 26, 125
"/Users/samharvey/AndroidStudioProjects/ecowise_planner/linux/my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"/Users/samharvey/AndroidStudioProjects/ecowise_planner/macos/Flutter/GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 3, 4, 19
